Number,Abstract
114,"  In this paper we explore the usage of rule engines in a graphical framework
for visualising dynamic access control policies. We use the Drools rule engine
to dynamically compute permissions, following the Category-Based Access Control
metamodel.
"
115,"  The autonomous heat engine is a model system of autonomous nonequilibrium
systems like biological cells, exploiting nonequilibrium flow for operations.
As the Carnot engine has essentially contributed to the equilibrium
thermodynamics, autonomous heat engine is expected to play a critical role in
the challenge of constructing nonequilibrium thermodynamics. However, the high
complexity of the engine involving an intricate coupling among heat, gas flow,
and mechanics has prevented simple modeling. Here, we experimentally
characterized the nonequilibrium dynamics and thermodynamics of a
low-temperature-differential Stirling engine, which is a model autonomous heat
engine. Our experiments demonstrated that the core engine dynamics are
quantitatively described by a minimal dynamical model with only two degrees of
freedom. The model proposes a novel concept that illustrates the engine as a
thermodynamic pendulum driven by a thermodynamic force. This work will open a
new approach to explore the nonequilibrium thermodynamics of autonomous systems
based on a simple dynamical system.
"
116,"  Binary reverse engineering is a challenging task because it often
necessitates reasoning using both domain-specific knowledge (e.g.,
understanding entrypoint idioms common to an ABI) and logical inference (e.g.,
reconstructing interprocedural control flow). To help perform these tasks,
reverse engineers often use toolkits (such as IDA Pro or Ghidra) that allow
them to interactively explicate properties of binaries. We argue that deductive
databases serve as a natural abstraction for interfacing between
visualization-based binary analysis tools and high-performance logical
inference engines that compute facts about binaries. In this paper, we present
a vision for the future in which reverse engineers use a visualization-based
tool to understand binaries while simultaneously querying a logical-inference
engine to perform arbitrarily-complex deductive inference tasks. We call our
vision declarative demand-driven reverse engineering (D^3RE for short), and
sketch a formal semantics whose goal is to mediate interaction between a
logical-inference engine (such Souffle) and a reverse engineering tool. We
describe aprototype tool, d3re, which are using to explore the D^3RE vision.
While still a prototype, we have used d3re to reimplement several common
querying tasks on binaries. Our evaluation demonstrates that d3re enables both
better performance and more succinct implementation of these common RE tasks.
"
117,"  Given the data-intensive and collaborative trend in science, the software
engineering community also pays increasing attention to obtaining valuable and
useful insights from data repositories. Nevertheless, applying data science to
software engineering (e.g., mining software repositories) can be blindfold and
meaningless, if lacking a suitable knowledge architecture (KA). By observing
that software engineering practices are generally recorded through a set of
factors (e.g., programmer capacity, different environmental conditions, etc.)
involved in various software project aspects, we propose a factor-based
hierarchical KA of software engineering to help maximize the value of software
repositories and inspire future software data-driven studies. In particular, it
is the organized factors and their relationships that help guide software
engineering knowledge mining, while the mined knowledge will in turn be
indexed/managed through the relevant factors and their interactions. This paper
explains our idea about the factorial KA and concisely demonstrates a KA
component, i.e. the early-version KA of software product engineering. Once
fully scoped, this proposed KA will supplement the well-known SWEBOK in terms
of both the factor-centric knowledge management and the coverage/implication of
potential software engineering knowledge.
"
118,"  Modern engineering education tends to focus on mathematics and fundamentals,
eschewing critical reflections on technology and the field of engineering. In
this paper, I present an elective engineering course and a 3-lecture module in
an introductory course that emphasize engaging with the social impacts of
technology.
"
119,"  In this paper a functionality taxonomy for document search engines is
proposed. It can be used to assess the features of a search engine, to position
search engines relative to each other, or to select which search engine 'fits'
a certain situation. One is able to identify areas for improvement. During
development, we were guided by the viewpoint of the user. We use the word
`search engine' in the broadest sense possible, including library and web based
(meta) search engines. The taxonomy distinguishes seven functionality areas: an
indexing service, user profiling, query composition, query execution, result
presentation, result refinement, and history keeping. Each of these relates and
provides services to other functionality areas. It can be extended whenever
necessary. To illustrate the validity of our taxonomy, it has been used for
comparing various document search engines existing today (ACM Digital Library,
PiCarta, Copernic, AltaVista, Google, and GuideBeam). It appears that the
functionality aspects covered by our taxonomy can be used for describing these
search engines.
"
120,"  Search engines can be considered as a gate to the world of WEB, and they also
decide what we see for a given search query. Since many people are exposed to
information through search engines, it is fair to expect that search engines
should be neutral; i.e. the returned results must cover all the elements or
aspects of the search topic, and they should be impartial where the results are
returned based on relevance. However, the search engine results are based on
many features and sophisticated algorithms where search neutrality is not
necessarily the focal point. In this work we performed an empirical study on
two popular search engines and analysed the search engine result pages for
controversial topics such as abortion, medical marijuana, and gay marriage. Our
analysis is based on the sentiment in search results to identify their
viewpoint as conservative or liberal. We also propose three sentiment-based
metrics to show the existence of bias as well as to compare viewpoints of the
two search engines. Extensive experiments performed on controversial topics
show that both search engines are biased, moreover they have the same kind of
bias towards a given controversial topic.
"
121,"  Nowadays game engines are imperative for building 3D applications and games.
This is for the reason that the engines appreciably reduce resources for
employing obligatory but intricate utilities. This paper elucidates about a
game engine and its foremost elements. It portrays a number of special kinds of
contemporary game engines by way of their aspects, procedure and deliberates
their stipulations with comparison.
"
122,"  Quantum heat engines form an active field of research due to their potential
applications. There are several phenomena that are unique to the quantum
regime, some of which are known to give these engines an edge over their
classical counterparts. In this work, we focus on the study of one and
two-qubit finite-time Otto engines interacting with squeezed thermal baths, and
discuss their important distinctions as well as the advantage of using the
two-qubit engine. In particular, the two-qubit engine offers an interesting
study of the interplay between the degree of squeezing and that of the
coherence between the two qubits. We find that the two-qubit engine generally
yields higher power than its one-qubit counterpart. The effective temperature
of the squeezed baths can be calculated both for the one and two-qubit engines,
and they tend to show an exponential growth with increase in squeezing
parameters $r_h$ and $r_c$. It is also observed that by tuning the squeezing
parameters, the machine can be made to work either in the engine or in the
refrigerator mode. Additional effects due to the change in the inter-qubit
separation have been studied.
"
123,"  In this third decade of systems engineering in the twenty-first century, it
is important to develop and demonstrate practical methods to exploit
machine-readable models in the engineering of systems. Substantial investment
has been made in languages and modelling tools for developing models. A key
problem is that system architects and engineers work in a multidisciplinary
environment in which models are not the product of any one individual. This
paper provides preliminary results of a formal approach to specify models and
structure preserving transformations between them that support model
synchronization. This is an important area of research and practice in software
engineering. However, it is limited to synchronization at the code level of
systems. This paper leverages previous research of the authors to define a core
fractal for interpretation of concepts into model specifications and
transformation between models. This fractal is used to extend the concept of
synchronization of models to the system level and is demonstrated through a
practical engineering example for an advanced driver assistance system.
"
124,"  We study the optimal performance of an endoreversible quantum dot heat
engine, in which the heat transfer between the system and baths is mediated by
qubits, operating under the conditions of a trade-off objective function known
as maximum efficient power function defined by the product of power and
efficiency of the engine. First, we numerically study the optimization of the
efficient power function for the engine under consideration. Then, we obtain
some analytic results by applying hightemperature limit and compare the
performance of the engine at maximum efficient power functionto the engine
operating in the maximum power regime. We find that the engine operating at
maximum efficient power function produces at least 88.89% of the maximum power
output while at the same time reduces the power loss due to entropy production
by considerable amount. We conclude by studying the stochastic simulations of
the efficiency of the engine in maximum power and maximum efficient power
regime. We find that the engine operating at maximum power is subjected to less
power fluctuations as compared to the on one operating at maximum efficient
power function.
"
125,"  The Continuous software engineering is a collaborative software development
environment which offers the continues development and deployment of quality
software project within short time. The Continuous software engineering
practices are not yet mature enough, and the software organizations hesitate to
adopt it. This study aims: (1) to explore the Continuous software engineering
challenges by conducting systematic literature review (SLR) and to get the
insight of industry experts via questionnaire survey study; (2) to prioritize
the investigated challenges using fuzzy analytical hierarchy process (FAHP).
The study findings provides the set of critical challenges faced by the
software organizations while adopting Continuous software engineering and a
prioritization based taxonomy of the Continuous software engineering
challenges. The application of FAHP is novel in this research area as it
assists in addressing the vagueness of practitioners concerning the influencing
factors of Continuous software engineering. We believe that the finding of this
study will serve as a body of knowledge for real world practitioners and
researchers to revise and develop the new strategies for the successful
implementation of Continuous software engineering practices in the software
industry.
"
126,"  Context: On top of the inherent challenges startup software companies face
applying proper software engineering practices, the non-deterministic nature of
machine learning techniques makes it even more difficult for machine learning
(ML) startups.
  Objective: Therefore, the objective of our study is to understand the whole
picture of software engineering practices followed by ML startups and identify
additional needs.
  Method: To achieve our goal, we conducted a systematic literature review
study on 37 papers published in the last 21 years. We selected papers on both
general software startups and ML startups. We collected data to understand
software engineering (SE) practices in five phases of the software development
life-cycle: requirement engineering, design, development, quality assurance,
and deployment.
  Results: We find some interesting differences in software engineering
practices in ML startups and general software startups. The data management and
model learning phases are the most prominent among them.
  Conclusion: While ML startups face many similar challenges to general
software startups, the additional difficulties of using stochastic ML models
require different strategies in using software engineering practices to produce
high-quality products.
"
127,"  Engineering processes for safety-critical systems describe the steps and
sequence that guide engineers from refining user requirements into executable
code, as well as producing the artifacts, traces, and evidence that the
resulting system is of high quality. Process compliance focuses on ensuring
that the actual engineering work is followed as closely as possible to the
described engineering processes. To this end, temporal constraints describe the
ideal sequence of steps. Checking these process constraints, however, is still
a daunting task that requires a lot of manual work and delivers feedback to
engineers only late in the process. In this paper, we present an automated
constraint checking approach that can incrementally check temporal constraints
across inter-related engineering artifacts upon every artifact change thereby
enabling timely feedback to engineers on process deviations. Temporal
constraints are expressed in the Object Constraint Language (OCL) extended with
operators from Linear Temporal Logic (LTL). We demonstrate the ability of our
approach to support a wide range of higher level temporal patterns. We further
show that for constraints in an industry-derived use case, the average
evaluation time for a single constraint takes around 0.2 milliseconds.
"
128,"  Prompt design and engineering has rapidly become essential for maximizing the
potential of large language models. In this paper, we introduce core concepts,
advanced techniques like Chain-of-Thought and Reflection, and the principles
behind building LLM-based agents. Finally, we provide a survey of tools for
prompt engineers.
"
129,"  This paper discusses the importance of reflective and socially conscious
education in engineering schools, particularly within the EE/CS sector. While
most engineering disciplines have historically aligned themselves with the
demands of the technology industry, the lack of critical examination of
industry practices and their impact on justice, equality, and sustainability is
self-evident. Today, the for-profit engineering/technology companies, some of
which are among the largest in the world, also shape the narrative of
engineering education and research in universities. As engineering graduates
form the largest cohorts within STEM disciplines in Western countries, they
become future professionals who will work, lead, or even establish companies in
this industry. Unfortunately, the curriculum within engineering education often
lacks a deep understanding of social realities, an essential component of a
comprehensive university education. Here we establish this unusual connection
with the industry that has driven engineering higher education for several
decades and its obvious negative impacts to society. We analyse this nexus and
highlight the need for engineering schools to hold a more critical viewpoint.
Given the wealth and power of modern technology companies, particularly in the
ICT domain, questioning their techno-solutionism narrative is essential within
the institutes of higher education.
"
130,"  This paper explores the intricate challenge of understanding and measuring
software engineer behavior. More specifically, we revolve around a central
question: How can we enhance our understanding of software engineer behavior?
Grounded in the nuanced complexities addressed within Behavioral Software
Engineering (BSE), we advocate for holistic methods that integrate quantitative
measures, such as psychometric instruments, and qualitative data from diverse
sources. Furthermore, we delve into the relevance of this challenge within
national and international contexts, highlighting the increasing interest in
understanding software engineer behavior. Real-world initiatives and academic
endeavors are also examined to underscore the potential for advancing this
research agenda and, consequently, refining software engineering practices
based on behavioral aspects. Lastly, this paper addresses different ways to
evaluate the progress of this challenge by leveraging methodological skills
derived from behavioral sciences, ultimately contributing to a deeper
understanding of software engineer behavior and software engineering practices.
"
131,"  The ability of Generative AI (GAI) technology to automatically check,
synthesize and modify software engineering artifacts promises to revolutionize
all aspects of software engineering. Using GAI for software engineering tasks
is consequently one of the most rapidly expanding fields of software
engineering research, with over a hundred LLM-based code models having been
published since 2021. However, the overwhelming majority of existing code
models share a major weakness - they are exclusively trained on the syntactic
facet of software, significantly lowering their trustworthiness in tasks
dependent on software semantics. To address this problem, a new class of
""Morescient"" GAI is needed that is ""aware"" of (i.e., trained on) both the
semantic and static facets of software. This, in turn, will require a new
generation of software observation platforms capable of generating large
quantities of execution observations in a structured and readily analyzable
way. In this paper, we present a vision and roadmap for how such ""Morescient""
GAI models can be engineered, evolved and disseminated according to the
principles of open science.
"
132,"  Game engines are tools to facilitate video game development. They provide
graphics, sound, and physics simulation features, which would have to be
otherwise implemented by developers. Even though essential for modern
commercial video game development, game engines are complex and developers
often struggle to understand their architecture, leading to maintainability and
evolution issues that negatively affect video game productions. In this paper,
we present the Subsystem-Dependency Recovery Approach (SyDRA), which helps game
engine developers understand game engine architecture and therefore make
informed game engine development choices. By applying this approach to 10
open-source game engines, we obtain architectural models that can be used to
compare game engine architectures and identify and solve issues of excessive
coupling and folder nesting. Through a controlled experiment, we show that the
inspection of the architectural models derived from SyDRA enables developers to
complete tasks related to architectural understanding and impact analysis in
less time and with higher correctness than without these models.
"
133,"  This work introduces an innovative program for training the next generation
of software engineers within university settings, addressing the limitations of
traditional software engineering courses. Initial program costs were
significant, totaling $551,420 in direct expenditures to pay for program staff
salaries and benefits over two years. We present a strategy for reducing
overall costs and establishing sustainable funding sources to perpetuate the
program, which has yielded educational, research, professional, and societal
benefits.
"
134,"  Aero-engine fault prediction aims to accurately predict the development trend
of the future state of aero-engines, so as to diagnose faults in advance.
Traditional aero-engine parameter prediction methods mainly use the nonlinear
mapping relationship of time series data but generally ignore the adequate
spatiotemporal features contained in aero-engine data. To this end, we propose
a brain-inspired spike echo state network (Spike-ESN) model for aero-engine
intelligent fault prediction, which is used to effectively capture the
evolution process of aero-engine time series data in the framework of
spatiotemporal dynamics. In the proposed approach, we design a spike input
layer based on Poisson distribution inspired by the spike neural encoding
mechanism of biological neurons, which can extract the useful temporal
characteristics in aero-engine sequence data. Then, the temporal
characteristics are input into a spike reservoir through the current
calculation method of spike accumulation in neurons, which projects the data
into a high-dimensional sparse space. In addition, we use the ridge regression
method to read out the internal state of the spike reservoir. Finally, the
experimental results of aero-engine states prediction demonstrate the
superiority and potential of the proposed method.
"
135,"  Generative LLMs, such as GPT, have the potential to revolutionize
Requirements Engineering (RE) by automating tasks in new ways. This column
explores the novelties and introduces the importance of precise prompts for
effective interactions. Human evaluation and prompt engineering are essential
in leveraging LLM capabilities.
"
136,"  Multimodal GPTs represent a watershed in the interplay between Software
Engineering and Generative Artificial Intelligence. GPT-4 accepts image and
text inputs, rather than simply natural language. We investigate relevant use
cases stemming from these enhanced capabilities of GPT-4. To the best of our
knowledge, no other work has investigated similar use cases involving Software
Engineering tasks carried out via multimodal GPTs prompted with a mix of
diagrams and natural language.
"
137,"  LLMs are transforming software engineering by accelerating development,
reducing complexity, and cutting costs. When fully integrated into the software
lifecycle they will drive design, development and deployment while facilitating
early bug detection, continuous improvement, and rapid resolution of critical
issues. However, trustworthy LLM-driven software engineering requires
addressing multiple challenges such as accuracy, scalability, bias, and
explainability.
"
138,"  A heat engine is a machine which uses the temperature difference between a
hot and a cold reservoir to extract work. Here both reservoirs are quantum
systems and a heat engine is described by a unitary transformation which
decreases the average energy of the bipartite system. On the molecular scale,
the ability of implementing such a unitary heat engine is closely connected to
the ability of performing logical operations and classical computing. This is
shown by several examples:
  (1) The most elementary heat engine is a SWAP-gate acting on 1 hot and 1 cold
two-level systems with different energy gaps.
  (2) An optimal unitary heat engine on a pair of 3-level systems can directly
implement OR and NOT gates, as well as copy operations. The ability to
implement this heat engine on each pair of 3-level systems taken from the hot
and the cold ensemble therefore allows universal classical computation.
  (3) Optimal heat engines operating on one hot and one cold oscillator mode
with different frequencies are able to calculate polynomials and roots
approximately.
  (4) An optimal heat engine acting on 1 hot and n cold 2-level systems with
different level spacings can even solve the NP-complete problem KNAPSACK.
Whereas it is already known that the determination of ground states of
interacting many-particle systems is NP-hard, the optimal heat engine is a
thermodynamic problem which is NP-hard even for n non-interacting spin systems.
This result suggest that there may be complexity-theoretic limitations on the
efficiency of molecular heat engines.
"
139,"  Aiming to study GRB engine duration, we present numerical simulations to
investigate collapsar jets. We consider typical explosion energy ($10^{52}$
erg) but different engine durations, in the widest domain to date from 0.1 to
100 s. We employ an AMR 2D hydrodynamical code. Our results show that engine
duration strongly influences jet nature. We show that the efficiency of
launching and collimating relativistic outflow increases with engine duration,
until the intermediate engine range where it is the highest, past this point to
long engine range, the trend is slightly reversed; we call this point where
acceleration and collimation are the highest ""sweet spot"" ($\sim$10 -- 30 s).
Moreover, jet energy flux shows that variability is also high in this duration
domain. We argue that not all engine durations can produce the collimated,
relativistic and variable long GRB-jets. Considering a typical progenitor and
engine energy, we conclude that the ideal engine duration to reproduce a long
GRB is $\sim$10 -- 30 s, where the launch of relativistic, collimated and
variable jets is favored. We note that this duration domain makes a good link
with Lazzati et al. (2013), which suggested that the bulk of BATSE's long GRBs
is powered by $\sim$10 -- 20 s collapsar engines.
"
140,"  In this paper, we present a robotic prediction agent including a darkforest
Go engine, a fuzzy markup language (FML) assessment engine, an FML-based
decision support engine, and a robot engine for game of Go application. The
knowledge base and rule base of FML assessment engine are constructed by
referring the information from the darkforest Go engine located in NUTN and
OPU, for example, the number of MCTS simulations and winning rate prediction.
The proposed robotic prediction agent first retrieves the database of Go
competition website, and then the FML assessment engine infers the winning
possibility based on the information generated by darkforest Go engine. The
FML-based decision support engine computes the winning possibility based on the
partial game situation inferred by FML assessment engine. Finally, the robot
engine combines with the human-friendly robot partner PALRO, produced by
Fujisoft incorporated, to report the game situation to human Go players.
Experimental results show that the FML-based prediction agent can work
effectively.
"
141,"  Empirical methods like experimentation have become a powerful means to drive
the field of software engineering by creating scientific evidence on software
development, operation, and maintenance, but also by supporting practitioners
in their decision making and learning. Today empirical methods are fully
applied in software engineering. However, they have developed in several
iterations since the 1960s. In this chapter we tell the history of empirical
software engineering and present the evolution of empirical methods in software
engineering in five iterations, i.e., (1) mid-1960s to mid-1970s, (2) mid-1970s
to mid-1980s, (3) mid-1980s to end of the 1990s, (4) the 2000s, and (5) the
2010s. We present the five iterations of the development of empirical software
engineering mainly from a methodological perspective and additionally take key
papers, venues, and books, which are covered in chronological order in a
separate section on recommended further readings, into account. We complement
our presentation of the evolution of empirical software engineering by
presenting the current situation and an outlook in Sect. 4 and the available
books on empirical software engineering. Furthermore, based on the chapters
covered in this book we discuss trends on contemporary empirical methods in
software engineering related to the plurality of research methods, human
factors, data collection and processing, aggregation and synthesis of evidence,
and impact of software engineering research.
"
142,"  Typically, search engines provide query suggestions to assist users in the
search process. Query suggestions are very important for improving users search
experience. However, most query suggestions are based on the user's search
logs, and they can be influenced by infrequently searched queries. Depending on
the user's query, query suggestions can be ineffective in global search engines
but effective in a domestic search engine. Conversely, it can be effective in
global engines and weak in domestic engines. In addition, log-based query
suggestions require many search logs, which makes them difficult to construct
outside of a large search engine. Some search engines do not provide query
suggestions, making searches difficult for users. These query suggestion
vulnerabilities degrade the user's search experience. In this study, we develop
a meta-suggestion, a new query suggestion scheme. Similar to meta-searches,
meta-suggestions retrieves candidate queries of suggestions from other search
engines. Meta-suggestions generate suggestions by reranking the aggregated
candidate queries. We develop a meta-suggestion engine (MSE) browser extension
that generates meta-suggestions. It can provide query suggestions for any
webpage and does not require a search log. Comparing our meta-suggestions to
major search engines such as Google, showed a 17% performance improvement on
normalized discounted cumulative gain (NDCG) and a 31% improvement on
precision. If more detailed factors, such as user preferences are discovered
through continued research, it is expected that user searches will greatly
improve. An enhanced user search experience is possible if factors, such as
user preference, are examined in future work.
"
143,"  Context: The software development industry is rapidly adopting machine
learning for transitioning modern day software systems towards highly
intelligent and self-learning systems. However, the full potential of machine
learning for improving the software engineering life cycle itself is yet to be
discovered, i.e., up to what extent machine learning can help reducing the
effort/complexity of software engineering and improving the quality of
resulting software systems. To date, no comprehensive study exists that
explores the current state-of-the-art on the adoption of machine learning
across software engineering life cycle stages. Objective: This article
addresses the aforementioned problem and aims to present a state-of-the-art on
the growing number of uses of machine learning in software engineering. Method:
We conduct a systematic mapping study on applications of machine learning to
software engineering following the standard guidelines and principles of
empirical software engineering. Results: This study introduces a machine
learning for software engineering (MLSE) taxonomy classifying the
state-of-the-art machine learning techniques according to their applicability
to various software engineering life cycle stages. Overall, 227 articles were
rigorously selected and analyzed as a result of this study. Conclusion: From
the selected articles, we explore a variety of aspects that should be helpful
to academics and practitioners alike in understanding the potential of adopting
machine learning techniques during software engineering projects.
"
144,"  Context. JavaScript is a popular programming language today with several
implementations competing for market dominance. Although a specification
document and a conformance test suite exist to guide engine development, bugs
occur and have important practical consequences. Implementing correct engines
is challenging because the spec is intentionally incomplete and evolves
frequently. Objective. This paper investigates the use of test transplantation
and differential testing for revealing functional bugs in JavaScript engines.
The former technique runs the regression test suite of a given engine on
another engine. The latter technique fuzzes existing inputs and then compares
the output produced by different engines with a differential oracle. Method. We
conducted experiments with engines from five major players-Apple, Facebook,
Google, Microsoft, and Mozilla-to assess the effectiveness of test
transplantation and differential testing. Results. Our results indicate that
both techniques revealed several bugs, many of which confirmed by developers.
We reported 35 bugs with test transplantation (23 of these bugs confirmed and
19 fixed) and reported 24 bugs with differential testing (17 of these confirmed
and 10 fixed). Results indicate that most of these bugs affected two
engines-Apple's JSC and Microsoft's ChakraCore (24 and 26 bugs, respectively).
To summarize, our results show that test transplantation and differential
testing are easy to apply and very effective in finding bugs in complex
software, such as JavaScript engines.
"
145,"  For improving flexibility and robustness of the engineering of automated
production systems (aPS) in case of extending, reducing or modifying parts,
several approaches propose an encapsulation and clustering of related
functions, e.g. from the electrical, mechanical or software engineering, based
on a modular architecture. Considering the development of these modules, there
are different stages, e.g. module planning or functional engineering, which
have to be completed. A reference model that addresses the different stages for
the engineering of aPS is proposed by AutomationML. Due to these different
stages and the integration of several engineering disciplines, e.g. mechanical,
electrical/electronic or software engineering, information not limited to one
discipline are stored redundantly increasing the effort to transfer information
and the risk of inconsistency. Although, data formats for the storage and
exchange of plant engineering information exist, e.g. AutomationML, fixed
domain specific structures and relations of the information, e.g. for automated
material flow systems (aMFS), are missing. This paper presents the integration
of a meta model into the development of modules for aMFS to improve the
transferability and consistency of information between the different
engineering stages and the increasing level of detail from the coarse-grained
plant planning to the fine-grained functional engineering.
"
146,"  Data-driven engineering refers to systematic data collection and processing
using machine learning to improve engineering systems. Currently, the
implementation of data-driven engineering relies on fundamental data science
and software engineering skills. At the same time, model-based engineering is
gaining relevance for the engineering of complex systems. In previous work, a
model-based engineering approach integrating the formalization of machine
learning tasks using the general-purpose modeling language SysML is presented.
However, formalized machine learning tasks still require the implementation in
a specialized programming languages like Python. Therefore, this work aims to
facilitate the implementation of data-driven engineering in practice by
extending the previous work of formalizing machine learning tasks by
integrating model transformation to generate executable code. The method
focuses on the modifiability and maintainability of the model transformation so
that extensions and changes to the code generation can be integrated without
requiring modifications to the code generator. The presented method is
evaluated for feasibility in a case study to predict weather forecasts. Based
thereon, quality attributes of model transformations are assessed and
discussed. Results demonstrate the flexibility and the simplicity of the method
reducing efforts for implementation. Further, the work builds a theoretical
basis for standardizing data-driven engineering implementation in practice.
"
147,"  Knowledge engineering is the process of creating and maintaining
knowledge-producing systems. Throughout the history of computer science and AI,
knowledge engineering workflows have been widely used given the importance of
high-quality knowledge for reliable intelligent agents. Meanwhile, the scope of
knowledge engineering, as apparent from its target tasks and use cases, has
been shifting, together with its paradigms such as expert systems, semantic
web, and language modeling. The intended use cases and supported user
requirements between these paradigms have not been analyzed globally, as new
paradigms often satisfy prior pain points while possibly introducing new ones.
The recent abstraction of systemic patterns into a boxology provides an opening
for aligning the requirements and use cases of knowledge engineering with the
systems, components, and software that can satisfy them best. This paper
proposes a vision of harmonizing the best practices in the field of knowledge
engineering by leveraging the software engineering methodology of creating
reference architectures. We describe how a reference architecture can be
iteratively designed and implemented to associate user needs with recurring
systemic patterns, building on top of existing knowledge engineering workflows
and boxologies. We provide a six-step roadmap that can enable the development
of such an architecture, providing an initial design and outcome of the
definition of architectural scope, selection of information sources, and
analysis. We expect that following through on this vision will lead to
well-grounded reference architectures for knowledge engineering, will advance
the ongoing initiatives of organizing the neurosymbolic knowledge engineering
space, and will build new links to the software architectures and data science
communities.
"
148,"  Regular expression denial of service (ReDoS) is an asymmetric cyberattack
that has become prominent in recent years. This attack exploits the slow
worst-case matching time of regular expression (regex) engines. In the past,
problematic regular expressions have led to outages at Cloudflare and Stack
Overflow, showing the severity of the problem. While ReDoS has drawn
significant research attention, there has been no systematization of knowledge
to delineate the state of the art and identify opportunities for further
research.
  In this paper, we describe the existing knowledge on ReDoS. We first provide
a systematic literature review, dividing works into two classes: measurement
studies and defenses. Then, our engineering review surveys the latest regex
engines to examine whether and how ReDoS defenses have been realized. Combining
our findings, we observe that (1) in the literature, almost no studies evaluate
whether and how ReDoS vulnerabilities can be weaponized against real systems,
making it difficult to assess their real-world impact; and (2) from an
engineering view, many mainstream regex engines now have ReDoS defenses,
rendering many threat models obsolete. The open challenges in ReDoS research
are to evaluate the emerging defenses, and to support engineers in migrating to
defended engines. To support these directions, we conclude by presenting the
wrk-redos tool. This tool supports controlled measurements of ReDoS on a web
service, and includes proof-of-concept Docker images that allow engineers to
substitute different regex engines in their applications.
"
149,"  This thesis examines some of the applications of scaling relations in
understanding non linear structure formation.
"
150,"  We model a microscopic heat engine as a particle hopping on a one-dimensional
lattice in a periodic sawtooth potential, with or without load, assisted by the
thermal kicks it gets from alternately placed hot and cold thermal baths. We
find analytic expressions for current and rate of heat flow when the engine
operates at steady state. Three regions are identified where the model acts
either as a heat engine or as a refrigerator or as neither of the two. At
quasistatic limit both efficiency of the engine and coefficient of performance
of the refrigerator go to that for Carnot engine and Carnot refrigerator,
respectively. We investigate efficiency of the engine at two operating
conditions (at maximum power and at optimum value with respect to energy and
time) and compare them with those of the endoreversible and Carnot engines.
"
151,"  Geographic location search engines allow users to constrain and order search
results in an intuitive manner by focusing a query on a particular geographic
region. Geographic search technology, also called location search, has recently
received significant interest from major search engine companies. Academic
research in this area has focused primarily on techniques for extracting
geographic knowledge from the web. In this paper, we study the problem of
efficient query processing in scalable geographic search engines. Query
processing is a major bottleneck in standard web search engines, and the main
reason for the thousands of machines used by the major engines. Geographic
search engine query processing is different in that it requires a combination
of text and spatial data processing techniques. We propose several algorithms
for efficient query processing in geographic search engines, integrate them
into an existing web search query processor, and evaluate them on large sets of
real data and query traces.
"
152,"  The requirements roadmap concept is introduced as a solution to the problem
of the requirements engineering of adaptive systems. The concept requires a new
general definition of the requirements problem which allows for quantitative
(numeric) variables, together with qualitative (binary boolean) propositional
variables, and distinguishes monitored from controlled variables for use in
control loops. We study the consequences of these changes, and argue that the
requirements roadmap concept bridges the gap between current general
definitions of the requirements problem and its notion of solution, and the
research into the relaxation of requirements, the evaluation of their partial
satisfaction, and the monitoring and control of requirements, all topics of
particular interest in the engineering of requirements for adaptive systems
[Cheng et al. 2009]. From the theoretical perspective, we show clearly and
formally the fundamental differences between more traditional conception of
requirements engineering (e.g., Zave & Jackson [1997]) and the requirements
engineering of adaptive systems (from Fickas & Feather [1995], over Letier &
van Lamsweerde [2004], and up to Whittle et al. [2010] and the most recent
research). From the engineering perspective, we define a proto-framework for
early requirements engineering of adaptive systems, which illustrates the
features needed in future requirements frameworks for this class of systems.
"
153,"  The use of embedded software is growing very rapidly. Accessing the internet
is a necessary service which has large range of applications in many fields.
The Internet is based on TCP/IP which is a very important stack. Although
TCP/IP is very important there is not a software engineering model describing
it. The common method in modeling and describing TCP/IP is RFCs which is not
sufficient for software engineer and developers. Therefore there is a need for
software engineering approach to help engineers and developers to customize
their own web based applications for embedded systems. This research presents a
model based system engineering approach of lightweight TCP/IP. The model
contains the necessary phases for developing a lightweight TCP/IP for embedded
systems. The proposed model is based on SysML as a model based system
engineering language.
"
154,"  This paper presents the methodology for the system requirements and
architecture w.r.t. their decomposition and refinement. It also introduces
ideas of refinement layers and of refinement-based verification.
"
155,"  Global software engineering has become a fact in many companies due to real
necessity in practice. In contrast to co-located projects global projects face
a number of additional software engineering challenges. Among them quality
management has become much more difficult and schedule and budget overruns can
be observed more often. Compared to co-located projects global software
engineering is even more challenging due to the need for integration of
different cultures, different languages, and different time zones - across
companies, and across countries. The diversity of development locations on
several levels seriously endangers an effective and goal-oriented progress of
projects. In this position paper we discuss reasons for global development,
sketch settings for distribution and views of orchestration of dislocated
companies in a global project that can be seen as a ""virtual project
environment"". We also present a collection of questions, which we consider
relevant for global software engineering. The questions motivate further
discussion to derive a research agenda in global software engineering.
"
