Number,output,input
61,"  Number of published scholarly articles is growing exponentially. To tackle
this information overload, researchers are increasingly depending on niche
academic search engines. Recent works have shown that two major general web
search engines: Google and Bing, have high level of agreement in their top
search results. In contrast, we show that various academic search engines have
low degree of agreement among themselves. We performed experiments using 2500
queries over four academic search engines. We observe that overlap in search
result sets of any pair of academic search engines is significantly low and in
most of the cases the search result sets are mutually exclusive. We also
discuss implications of this low overlap.
","The number of published academic articles is increasing in exponential functions.
The overload and researchers of this information are increasing according to the niche market.
Academic search engine.
Search engine: Google and Bing, the top has a high level contract.
In contrast, there are various academic search engines.
The low contract between them was conducted using 2500 experiments.
Questions about four academic search engines.
The result set of all academic search engines is very low.
In most cases, the search result set is mutual exclusive.
Discuss this low duplicate meaning."
62,"  Systems Engineering (SE) is the set of processes and documentation required
for successfully realising large-scale engineering projects, but the classical
approach is not a good fit for software-intensive projects, especially when the
needs of the different stakeholders are not fully known from the beginning, and
requirement priorities might change. The SKA is the ultimate software-enabled
telescope, with enormous amounts of computing hardware and software required to
perform its data reduction. We give an overview of the system and software
engineering processes in the SKA1 development, and the tension between
classical and agile SE.
","System engineering (SE) is a series of processes and documents.
A large engineering project has been realized normally, but classic
This approach is not particularly suitable for software intensive projects.
The requests of other stakeholders are not completely known from the beginning
The priority of the requirements is the best software support.
Telescope that requires a huge amount of computing hardware and software
Reduce data.
SKA1 Development Engineering process and liver tension
Classic and agile SE."
63,"  We investigate the heat engine defined via black hole with momentum
relaxation, which is introduced by massless axion fields. We first study the
extended thermodynamical properties of the black hole and then apply it to
define a heat engine. Then, we analyze how the momentum relaxation affects the
efficiency of the heat engine in the limit of high temperature. We find that
depending on the schemes of specified parameters in the engine circle, the
influence of momentum relaxation on the efficiency of the heat engine behaves
novelly, and the qualitative behaviors do depend on the dimension of the
gravity theory.
","Investigate the heat engine defined through the black hole with momentum.
Study first
Black hole expansion thermodynamic characteristics
Define a heat engine.
Efficiency of heat engine with high temperature limit
According to the specified parameter sceme of the engine source
Effect of mitigation of exercise to the efficiency of heat engine movements
Carefully, qualitative movements depend on the dimension.
Gravity theory."
64,"  The Fluidyne is a two-part hot-air engine, which has the peculiarity that
both its power piston and displacer are liquids. Both parts operate in tandem
with the common working gas (air) transferring energy from the displacer to the
piston side, from which work is extracted. We describe analytically the
thermodynamics of the Fluidyne engine using the approach previously developed
for the Stirling engine. We obtain explicit expressions for the amplitude of
the power piston movement and for the working gas temperatures and pressure as
functions of the engine parameters. We also study numerically the power and
efficiency of the engine in terms of the phase shift between the motions of
piston and displacer.
","Fluidyne is an heat engine consisting of two parts.
Both power piston and displacement are liquids.
General work gas (air) transmits energy from displacement
The piston side, several tasks are extracted.
Fluidyne engine thermodynamics using previously developed approaches
In the case of a sterling engine, a clear expression of amplitude can be obtained.
Power piston movement and work gas temperature and pressure
Engine parameter function
Efficiency of the engine from the viewpoint of the movement of the phase between movement
Piston and displacement."
65,"  Society today cannot run without software and by extension, without Software
Engineering. Since this discipline emerged in 1968, practitioners have learned
valuable lessons that have contributed to current practices. Some have become
outdated but many are still relevant and widely used. From the personal and
incomplete perspective of the authors, this paper not only reviews the major
milestones and areas of interest in the Software Engineering timeline helping
software engineers to appreciate the state of things, but also tries to give
some insights into the trends that this complex engineering will see in the
near future.
","Today, society cannot be executed without software, expansion, or software.
Since the training of engineering and this training appeared in 1968, practitioners have learned.
A valuable lesson that contributed to the current practice.
It is old, but many are still related and widely used.
Author's incomplete perspective, this paper not only reviews major, but
Interest in software engineering timeline and support for milestones
Software engineers highly appreciate the status of things
This complex engineering
In the near future."
66,"  The paper introduces RPSE, Reification as a Paradigm of Software Engineering,
and enumerates the most important theoretical and practical problems of the
development and application of this paradigm. Main thesis: Software engineering
is the reification (materialization of ideas) via the transformation of mental
models into code executed on computers . Within the proposed paradigm: 1.All
basic processes of software engineering are concrete variants (implementations)
of the process of constructing chains of mental and material models I1,
I2,..In, M1, M2, ..Mm. The last most specific model in this chain is, as a
rule, program code. 2.The essence of software engineering is the construction
of such chains. 3.All main issues of optimizing the development, its cost, and
quality can be reduced to the optimization of construction of the corresponding
chain of models.
","This paper introduces RPSE as RPSE and software engineering paradigm.
And we list the most important theoretical and practical issues.
Development and application of this paradigm: Software engineering
It is rule through the changes of the spirit (the idea of __deas).
Model that executed the code in the proposed paradigm: 1
The basic process of software engineering is a specific variation (implementation).
Process I1 that makes up a chain of mental and material models,
i2, .. in, M1, M2, .. mm
Rules, program code.The essence of software engineering is composition
Such a chain of .3.Major issues that optimize development, cost, and costs
By optimizing the configuration, the quality can be reduced.
Model chain."
67,"  In industry as well as education as well as academics we see a growing need
for knowledge on how to apply machine learning in software applications. With
the educational programme ICT & AI at Fontys UAS we had to find an answer to
the question: ""How should we educate software engineers to become AI
engineers?"" This paper describes our educational programme, the open source
tools we use, and the literature it is based on. After three years of
experience, we present our lessons learned for both educational institutions
and software engineers in practice.
","In addition to studying, there are more and more needs in the industry.
Knowledge of how to apply machine learning with software applications
Fontys UAS Educational Program ICT & AI I had to find the next answer.
Question: ""How do I educate software engineers into AI?
engineer?""This white paper describes the open source, an educational program.
The tools and literature we use are the basics.
Experience, we publish the lessons learned about both educational institutions.
And actually a software engineer."
68,"  Artificial Intelligence/Machine Learning techniques have been widely used in
software engineering to improve developer productivity, the quality of software
systems, and decision-making. However, such AI/ML models for software
engineering are still impractical, not explainable, and not actionable. These
concerns often hinder the adoption of AI/ML models in software engineering
practices. In this article, we first highlight the need for explainable AI in
software engineering. Then, we summarize three successful case studies on how
explainable AI techniques can be used to address the aforementioned challenges
by making software defect prediction models more practical, explainable, and
actionable.
","Artificial intelligence/machine learning technology is widely used
Software engineering that improves developer productivity and software quality
However, the system and the decision
Engineering is still unrealistic and cannot be explained
In many cases, concerns prevent the adoption of AI/ML models in software engineering.
This article emphasizes the need for AI that can be explained first.
Software engineering summarizes three successful case studies for the following methods:
You can solve the above tasks using the explained AI technology.
Software defective prediction models are more practical and easy to explain
Executable."
69,"  The rapid advances in technology over the last decade have significantly
altered the nature of engineering knowledge and skills required in the modern
industries. In response to the changing professional requirements, engineering
institutions have updated their curriculum and pedagogical practices. However,
most of the changes in the curriculum have been focused on the core engineering
courses without much consideration for the auxiliary courses in mathematics and
sciences. In this paper, we aim to propose a new, augmented mathematics
curriculum aimed at meeting the requirements of the modern, technology-based
engineering workplace. The proposed updates require minimal resources and can
be seamlessly integrated into the existing curriculum.
","The rapid development of technology in the past 10 years is great
We have changed the essence of engineering and technology necessary in modern times.
Changes in the industry, changes in specialized requirements, and responding to engineering
The institution has updated the curriculum and educational practices.
Most of the curriculum changes focus on key engineering.
Course without much consideration of math subsidy processes
Science aims to propose a new extended mathematics.
Curriculum to meet the latest technology -based requirements
Engineering workshops require minimal resources and cans.
Integrates smoothly into an existing curriculum."
70,"  We propose a variation of the classical Szilard engine that uses a porous
piston. Such an engine requires neither information about the position of the
particle, nor the removal and subsequent insertion of the piston when resetting
the engine to continue doing work by lifting a mass against a gravitational
field. Though the engine operates in contact with a single thermal reservoir,
the reset mechanism acts as a second reservoir, dissipating energy when a mass
that has been lifted by the engine is removed to initiate a new operation
cycle.
","We recommend changing classic Silard engines using porous.
These engines do not require information about location.
Re -established particles, or piston removal and subsequent insertions
An engine that continues to function by increasing the mass to gravity
The field and engine are in contact with a single heat storage,
The reset mechanism functions as the second reservoir and generates energy when there is mass.
It has been deleted to start a new work lifted by the engine.
To give."
71,"  Aiming at the current problems of theory-oriented,practice-light,and lack of
innovation ability in the teaching of postgraduate software engineering
courses,a multi-stage feedback teaching mode for software engineering
postgraduates based on competition project_driven is proposed. The model is
driven by the competition project,and implementing suggestions are given in
terms of stage allocation of software engineering course tasks and ability
cultivation,competition case design and process evaluation improvement,etc.
Through the implementation of this teaching mode,students enthusiasm and
initiative are expected to be stimulated,and the overall development of
students professional skills and comprehension ability would be improved to
meet the demand of society for software engineering technical talents.
","Aiming for the theoretical orientation, practice lighting, and tribal problems
Graduate School of Software Engineering Education Innovation Ability
Of course, multi -level feedback training mode for software engineering
A graduate student based on the competitive Project_Driven has been suggested.
It is led by a competitive project and a proposal conducted.
Software engineering course procedure
Cultivation, competitive case design, improvement of process evaluation, etc.
Through the implementation of this educational mode, students are passionate
Initiative is stimulated and is expected to be overall development.
Students improve professional skills and understanding.
Software Engineering Technology Society meets the demand of the Technical Association."
72,"  Large Language Models (LLMs) have shown great potential in solving complex
problems in various fields, including oil and gas engineering and other
industrial engineering disciplines like factory automation, PLC programming
etc. However, automatic identification of strong and weak solutions to
fundamental physics equations governing several industrial processes remain a
challenging task. This paper identifies the limitation of current LLM
approaches, particularly ChatGPT in selected practical problems native to oil
and gas engineering but not exclusively. The performance of ChatGPT in solving
complex problems in oil and gas engineering is discussed and the areas where
LLMs are most effective are presented.
","Large language models (LLMs) have shown a great possibility of complex resolution.
Problems in various fields such as petroleum and gas engineering
Industrial engineering such as factory automation and PLC programming
However, automatic identification of powerful and weak solutions
There are still basic physical equations that control various industrial processes.
Challenge task.
Approach chat, especially actual problems based on oil
Gas engineering, but not exclusive.
Complex problems of petroleum and gas engineering
LLM is the most effective."
73,"  This study explores strategies to improve engine efficiency through
innovative materials, design concepts, and alternative energy sources. It
highlights the use of nanomaterials and surface engineering to create
hydrophobic or other types of surfaces for harnessing entropy-gradient forces.
Additionally, it discusses the potential of information-burning engines and
quantum-based propulsion systems. The manuscript emphasizes the
multidisciplinary nature of engine research and its potential to contribute to
a sustainable and efficient future.
","In this study, we will explore strategies to improve the efficiency of the engine.
Innovative materials, design concepts, alternative energy sources
It is created by emphasizing the use of nano substances and surface engineering.
Hydrophobic or other types of surface to use the power of entropy grade.
In addition, we will explain the possibility of the information combustion engine.
Quantum infrastructure promotion system
The characteristics of various fields of engine research and the possibility of contributing to it
Sustainable and efficient future."
74,"  Knowledge engineering is a discipline that focuses on the creation and
maintenance of processes that generate and apply knowledge. Traditionally,
knowledge engineering approaches have focused on knowledge expressed in formal
languages. The emergence of large language models and their capabilities to
effectively work with natural language, in its broadest sense, raises questions
about the foundations and practice of knowledge engineering. Here, we outline
the potential role of LLMs in knowledge engineering, identifying two central
directions: 1) creating hybrid neuro-symbolic knowledge systems; and 2)
enabling knowledge engineering in natural language. Additionally, we formulate
key open research questions to tackle these directions.
","Knowledge engineering is created
Maintain the process of creating and applying traditional knowledge
The Knowledge Engineering Approach focuses on formal knowledge.
The appearance of a language model
In the most broader sense, we ask questions effectively in natural languages.
About the basics and practice of knowledge engineering.
The potential role of LLM in knowledge engineering identifies the two center
Direction: 1) Creating a symbolic knowledge system of hybrid nerves.
Natural language knowledge engineering is also possible
Questions of major public research to deal with this direction."
75,"  Evidence-based practice (EBP) in software engineering aims to improve
decision-making in software development by complementing practitioners'
professional judgment with high-quality evidence from research. We believe the
use of EBP techniques may be helpful for research software engineers (RSEs) in
their work to bring software engineering best practices to scientific software
development. In this study, we present an experience report on the use of a
particular EBP technique, rapid reviews, within an RSE team at Sandia National
Laboratories, and present practical recommendations for how to address barriers
to EBP adoption within the RSE community.
","We aim to improve software engineering -based training (EBP).
Decision of software development by complementing practitioners
Professional judgment results with high quality evidence
The use of EBP technology is useful for research software engineers (RSE).
Best practices for software engineering to science software
In this study, we
Sandia National RSE Team Specific EBP Technology, Quick Review
Providing practical recommendations for laboratory and how to solve barriers
EBP adopted in the RSE community."
76,"  The landscape of software engineering is evolving rapidly amidst the digital
transformation and the ascendancy of AI, leading to profound shifts in the role
and responsibilities of software engineers. This evolution encompasses both
immediate changes, such as the adoption of Language Model-based approaches in
coding, and deeper shifts driven by the profound societal and environmental
impacts of technology. Despite the urgency, there persists a lag in adapting to
these evolving roles. By fostering ongoing discourse and reflection on Software
Engineers role and responsibilities, this vision paper seeks to cultivate a new
generation of software engineers equipped to navigate the complexities and
ethical considerations inherent in their evolving profession.
","The software engineering environment is developing quickly and rapidly.
It causes AI, ascension, and a transformation of deep changes in roles.
The responsibility of the software engineer and this evolution include both.
Immediate change such as adopting a language model -based approach
Coding and deeper changes derived by profound social and environment
Despite the influence of technology.
This evolutionary role
The role and responsibility of the engineer, this vision paper is new
Create a software engineer to explore complexity
Ethical consideration unique to evolving work."
77,"  I summarize the main characteristics of AGNs in nearby galaxies and present a
physical picture of their central engines.
","Introduces the main features of AGN in the nearby galaxy
A physical picture of the central engine."
78,"  An ancient engineering firm worked successfully in the construction of one of
the Seven Wonders of the Ancient World. The engineers used inclined planes,
bags of sand and shafts of columns and architraves as wheels and axels.
","Ancient engineering company
The seven tremendous phenomenas of the ancient world used a sloping airplane.
Sand bags, pillars, shafts, arched wheels and shafts."
79,"  The performance of one type (Carnot) of Internal Combustion Engine (ICE)
cycle is analyzed within the framework of thermodynamic free energies. ICE
performance is different from that of an External Combustion Engine (ECE) which
is dictated by Carnot's rule.
","Performance of the type of internal combustion engine (ICE)
The cycle is analyzed in the framework of thermodynamic free energy.
Performance is different from the performance of the external combustion engine (ECE).
It will be determined according to the Carno's rules."
80,"  We analyze the efficiency of thermal engines (either quantum or classical)
working with a single heat reservoir like atmosphere. The engine first gets an
energy intake, which can be done in arbitrary non-equilibrium way e.g.
combustion of fuel. Then the engine performs the work and returns to the
initial state. We distinguish two general classes of engines where the working
body first equilibrates within itself and then performs the work (ergodic
engine) or when it performs the work before equilibrating (non-ergodic engine).
We show that in both cases the second law of thermodynamics limits their
efficiency. For ergodic engines we find a rigorous upper bound for the
efficiency, which is strictly smaller than the equivalent Carnot efficiency.
I.e. the Carnot efficiency can be never achieved in single reservoir heat
engines. For non-ergodic engines the efficiency can be higher and can exceed
the equilibrium Carnot bound. By extending the fundamental thermodynamic
relation to nonequilibrium processes, we find a rigorous thermodynamic bound
for the efficiency of both ergodic and non-ergodic engines and show that it is
given by the relative entropy of the non-equilibrium and initial equilibrium
distributions.These results suggest a new general strategy for designing more
efficient engines. We illustrate our ideas by using simple examples.
","Analyze the efficiency of the heat engine (quantum or classic)
Work in a single heat repository like an atmosphere.
Energy intake that can be executed in any criticism (eg ::::
Fuel combustion
Initial state.
Equip the body first and then execute the task (ERGODIC)
When working before the engine) or before equilibrium (non -energy engine).
In both cases, the second rule of thermodynamics
Efficiency .rgodic engine has a strict upper limit.
Strict efficiency than equal carno efficiency.
In other words, Carno's efficiency is never achieved by the heat of a single reservoir.
In the case of an engine and a non -veteran engine, it can exceed the efficiency.
Equal carnobound
Relationship with the criticism process finds strict thermodynamic boundaries.
Adhesive engine engine and efficiency of it
Given by the relative entropy of criticism and the initial equilibrium
This result proposes a new general strategy for more design.
Use an efficient engine to explain your ideas."
81,"  There are two types of high-performance graph processing engines: low- and
high-level engines. Low-level engines (Galois, PowerGraph, Snap) provide
optimized data structures and computation models but require users to write
low-level imperative code, hence ensuring that efficiency is the burden of the
user. In high-level engines, users write in query languages like datalog
(SociaLite) or SQL (Grail). High-level engines are easier to use but are orders
of magnitude slower than the low-level graph engines. We present EmptyHeaded, a
high-level engine that supports a rich datalog-like query language and achieves
performance comparable to that of low-level engines. At the core of
EmptyHeaded's design is a new class of join algorithms that satisfy strong
theoretical guarantees but have thus far not achieved performance comparable to
that of specialized graph processing engines. To achieve high performance,
EmptyHeaded introduces a new join engine architecture, including a novel query
optimizer and data layouts that leverage single-instruction multiple data
(SIMD) parallelism. With this architecture, EmptyHeaded outperforms high-level
approaches by up to three orders of magnitude on graph pattern queries,
PageRank, and Single-Source Shortest Paths (SSSP) and is an order of magnitude
faster than many low-level baselines. We validate that EmptyHeaded competes
with the best-of-breed low-level engine (Galois), achieving comparable
performance on PageRank and at most 3x worse performance on SSSP.
","There are two types of high -performance graph processing engines in the high -performance graph processing engine.
Advanced engine.
Optimized data structure and calculation model, but users need to describe them.
Low -level command code, so efficiency
For users, the high -end engine is written in the same query language as DataLog.
(Social World) or SQL (Grail)
The size is slower than that level graph engine.
Advanced engines that support and achieve queries such as rich Day tallogs
At the core of performance that can be compared with that level of engine
Sky design
It is a theoretical guarantee, but we have not achieved performance so far.
To achieve high performance
BeanHead introduces a new Join Engine architecture including a new query.
Optimization using a single test and more than one data layout
(SIMD) This architecture is better than the high level.
Up to 3 times the graph pattern tank eri
Pagerank and single source are the shortest route (SSSP) and dozens of times.
Faster than many low -level standards
I use low -level ENGLE (Galois) of bread crumbs
Pagerank performance and SSSP 3 times worse."
82,"  Information engines can use structured environments as a resource to generate
work by randomizing ordered inputs and leveraging the increased Shannon entropy
to transfer energy from a thermal reservoir to a work reservoir. We give a
broadly applicable expression for the work production of an information engine,
generally modeled as a memoryful channel that communicates inputs to outputs as
it interacts with an evolving environment. The expression establishes that an
information engine must have more than one memory state in order to leverage
input environment correlations. To emphasize this functioning, we designed an
information engine powered solely by temporal correlations and not by
statistical biases, as employed by previous engines. Key to this is the
engine's ability to synchronize---the engine automatically returns to a desired
dynamical phase when thrown into an unwanted, dissipative phase by corruptions
in the input---that is, by unanticipated environmental fluctuations. This
self-correcting mechanism is robust up to a critical level of corruption,
beyond which the system fails to act as an engine. We give explicit analytical
expressions for both work and critical corruption level and summarize engine
performance via a thermodynamic-function phase diagram over engine control
parameters. The results reveal a new thermodynamic mechanism based on
nonergodicity that underlies error correction as it operates to support
resilient engineered and biological systems.
","The information engine can be used as a resource for creating a structured environment.
Use the increased Shannon Entropy to randomly convert order input and work
Deliver energy from the thermal insurance pipe to the work repository.
Expressions that can be widely applied to the production of information engines,
Generally, it is modeled with a memory channel that provides input input.
It interacts with the evolving environment.
To use information, multiple memory statuses are required.
Input environment correlation.
The information engine worked only depending on the time correlation
Statistical bias used in the previous engine
Synchronization of the engine --- Automatically requires an engine
Dynamic steps when thrown into the subcultivation stage that is not desirable due to corruption
Input --- Unexpected environmental change
Self -adjusted mechanism is powerful for important rot levels.
In addition, the system does not provide explicit analysis.
Work expression, engine outline and important rotting level
Performance by thermodynamic sensuality of engine control
The result is based on a new thermodynamic mechanism.
Non -currency that is the basis of correction to function for support
Elastic engineering and biological systems."
83,"  Engineering Thermodynamics has been the core course of many science and
engineering majors at home and abroad, including energy and power, mechanical
engineering, civil engineering, aerospace, cryogenic refrigeration, food
engineering, chemical engineering, and environmental engineering, among which
gas power cycle is one of the important contents. However, many Engineering
Thermodynamics textbooks at home and abroad focus only on evaluating the
thermal efficiency of gas power cycle, while the important concept of specific
cycle net work is ignored. Taking an ideal Otto cycle and an ideal Brayton as
examples, the optimum compression ratio (or the pressure ratio) and the maximum
specific cycle net work are analyzed and determined. The ideal Otto and the
ideal Brayton cycles, and also other gas power cycles, are concluded that the
operation under the optimum compression/pressure ratio of the engine, instead
of under the higher efficiency, is more economic and more reasonable. We
concluded that the two very important concepts, i.e., the maximum specific
cycle net work and the optimum compression (or pressure) ratio for the gas
power cycles, should be emphasized in the Engineering Thermodynamics teaching
process and the latter revised or the newly edited textbooks, in order to
better guide the engineering applications. In the end, general T-s diagram is
proposed for the gas power cycles.
","Engineering thermodynamics was an important process of many science.
Major in Japan and overseas such as energy, power, mechanical food, etc.
Engineering, civil engineering, aerospace
Engineering, chemical engineering, environmental engineering
Gaspower cycle is one of the important content
Home and overseas thermodynamic textbooks
The thermal efficiency of the gas power cycle is a specific important concept.
Cycle order is ignored
Example, optimal compression ratio (or pressure ratio) and maximum value
A specific cycle order is analyzed and determined
Ideal Breyton Cycle and other gas power cycles
Instead, it operates at the optimal compression/pressure speed of the engine
Higher efficiency is more economical and reasonable
Two of the most important concepts, the biggest specificity
Optimal compression (or pressure) ratio of circulation network and gas
It should be emphasized in power cycle and engineering education education.
The process and the latter are revised or newly edited textbooks.
Eventually, you will guide you better with an engineering application.
Proposal for gas power cycle."
84,"  Proceedings of the 5th International Workshop on Software Engineering Methods
in Spreadsheets (SEMS'18), held on October 1st, 2018, in Lisbon, Portugal, and
co-located with the 2018 IEEE Symposium on Visual Languages and Human-Centric
Computing (VL/HCC).
","Procedures for the 5th International Workshop on Software Engineering Method
At SEMS'18 held in Lisbon, Portugal on October 1, 2018
Introduction of collaboration with the 2018 IEEE symposium for visual language and human center
Computing (VL/HCC)."
85,"  The purpose of this report is to research the topic called Social Engineering
in Cyber Security and present the explanation of the meaning, concepts,
techniques, and security countermeasures of Social Engineering based on factual
academic research.
","The purpose of this report is to study the subject of social engineering.
Cyber __ecurity provides meaning and concept descriptions.
Technology and security measures for social engineering based on facts
Academic research."
86,"  Systems engineering processes coordinate the effort of different individuals
to generate a product satisfying certain requirements. As the involved
engineers are self-interested agents, the goals at different levels of the
systems engineering hierarchy may deviate from the system-level goals which may
cause budget and schedule overruns. Therefore, there is a need of a systems
engineering theory that accounts for the human behavior in systems design. To
this end, the objective of this paper is to develop and analyze a
principal-agent model of a one-shot (single iteration), shallow (one level of
hierarchy) systems engineering process. We assume that the systems engineer
maximizes the expected utility of the system, while the subsystem engineers
seek to maximize their expected utilities. Furthermore, the systems engineer is
unable to monitor the effort of the subsystem engineer and may not have a
complete information about their types or the complexity of the design task.
However, the systems engineer can incentivize the subsystem engineers by
proposing specific contracts. To obtain an optimal incentive, we pose and solve
numerically a bi-level optimization problem. Through extensive simulations, we
study the optimal incentives arising from different system-level value
functions under various combinations of effort costs, problem-solving skills,
and task complexities.
","System engineering process adjusts other personal efforts.
Create a product that meets specific requirements.
   ê´   ë©
   ê³_¸µ ì¡ ì¡   ëª©í_  ë²   µë_.
__ê³  ì´_³¼ ë¥ __©ë_.      ©ë_
In engineering theory to explain human behavior in system design.
For this purpose, the goals of this paper are as follows
One -shot main agent model (single repeat), shallow (one level)
Hierarchy) Assuming a system engineer
Subsystem engineer while maximizing the expected usefulness of the system
Maximize the expected utility.System engineers are as follows:
You cannot monitor the efforts of the subsystem engineer
Complete information about the corresponding type or the complexity of the design work.
However, system engineer
We propose a specific contract.
Numerically, through a wide range of simulations
Study the optimal incentives generated by value of other system levels.
Various effort costs, problem solving technology,
The complexity of the task."
87,"  Attackers increasingly, and with high success rates, use social engineering
techniques to circumvent second factor authentication (2FA) technologies,
compromise user accounts and sidestep fraud detection technologies. We
introduce a social engineering resistant approach that we term device-aware
2FA, to replace the use of traditional security codes.
","If the attacker is higher and the success rate is high, social engineering is used.
Technology to bypass the second element authentication (2fa) technology,
Damage to user accounts and rotate fraud detection technology.
Introducing a social engineering resistance approach with device recognition.
2FA replaces the existing security code."
88,"  Digital engineering transformation is a crucial process for the engineering
paradigm shifts in the fourth industrial revolution (4IR), and artificial
intelligence (AI) is a critical enabling technology in digital engineering
transformation. This article discusses the following research questions: What
are the fundamental changes in the 4IR? More specifically, what are the
fundamental changes in engineering? What is digital engineering? What are the
main uncertainties there? What is trustworthy AI? Why is it important today?
What are emerging engineering paradigm shifts in the 4IR? What is the
relationship between the data-intensive paradigm and digital engineering
transformation? What should we do for digitalization? From investigating the
pattern of industrial revolutions, this article argues that ubiquitous machine
intelligence (uMI) is the defining power brought by the 4IR. Digitalization is
a condition to leverage ubiquitous machine intelligence. Digital engineering
transformation towards Industry 4.0 has three essential building blocks:
digitalization of engineering, leveraging ubiquitous machine intelligence, and
building digital trust and security. The engineering design community at large
is facing an excellent opportunity to bring the new capabilities of ubiquitous
machine intelligence and trustworthy AI principles, as well as digital trust,
together in various engineering systems design to ensure the trustworthiness of
systems in Industry 4.0.
","Digital engineering innovation is an important process for engineering.
In the 4th Industrial Revolution (4IR), paradigm changes and artificial
Intelligence (AI) is an important technology for digital engineering.
This article explains the following research questions.
Is there a fundamental change in 4IR?
What is the fundamental change or digital engineering of engineering?
What are the main uncertainty?
What is the 4IR emerging engineering paradigm shift?
Relationship between data -aged paradigm and digital engineering
What should I do for conversion and digitalization?
Pattern of the Industrial Revolution, this article is a ubiquitous machine
Intelligence (UMI) is the definition power that comes with 4IR.
Conditions for using ubiquitous smartphone intelligence and digital engineering
There are three important buildings to the transition to industrial 4.0.
Digitization of engineering, ubiquitous smartphone intelligence
Digital Trust and Security Design Community
We are facing a great opportunity to bring UBI's new quarterly power.
Machine intelligence, reliable AI principles and digital trasts,
With the design of various engineering systems
System 4.0."
89,"  Recently, there has been a national push to use machine learning (ML) and
artificial intelligence (AI) to advance engineering techniques in all
disciplines ranging from advanced fracture mechanics in materials science to
soil and water quality testing in the civil and environmental engineering
fields. Using AI, specifically machine learning, engineers can automate and
decrease the processing or human labeling time while maintaining statistical
repeatability via trained models and sensors. Edge Impulse has designed an
open-source TinyML-enabled Arduino education tool kit for engineering
disciplines. This paper discusses the various applications and approaches
engineering educators have taken to utilize ML toolkits in the classroom. We
provide in-depth implementation guides and associated learning outcomes focused
on the Environmental Engineering Classroom. We discuss five specific examples
of four standard Environmental Engineering courses for freshman and
junior-level engineering. There are currently few programs in the nation that
utilize machine learning toolkits to prepare the next generation of ML and
AI-educated engineers for industry and academic careers. This paper will guide
educators to design and implement ML/AI into engineering curricula (without a
specific AI or ML focus within the course) using simple, cheap, and open-source
tools and technological aid from an online platform in collaboration with Edge
Impulse.
","Recently, there was a nationwide promotion to use machine learning (ML).
Artificial intelligence that develops engineering (AI)
From the advanced fracture mechanism of material science
Civil Engineering and environmental engineering soil and water quality tests
Battery.ai, especially machine learning, engineers can be automated
While maintaining the statistics, shorten the processing time of human beings.
Experienced model and sensor.Edge Impulse designed ANN
Open source TINYML Support ARDUINO EDUCATION TOOL KIT
Science.This white paper describes various applications.
Engineering educators used ML toolkits in the classroom.
Provide learning results related to detailed implementation guides
The environmental engineering class describes five specific examples.
Among the four standard environmental engineering courses for freshmen
Junior level engineering.
Prepare the following generated ML using the machine learning tool kit
This paper, an AI education engineer in industry and academic work, is guided.
Educators who design and implement ML/AI with engineering curriculum (
Simple and inexpensive specific AI or ML focus using open source)
Collaboration with Edge
impulse."
90,"  For decades, much software engineering research has been dedicated to
devising automated solutions aimed at enhancing developer productivity and
elevating software quality. The past two decades have witnessed an unparalleled
surge in the development of intelligent solutions tailored for software
engineering tasks. This momentum established the Artificial Intelligence for
Software Engineering (AI4SE) area, which has swiftly become one of the most
active and popular areas within the software engineering field.
  This Future of Software Engineering (FoSE) paper navigates through several
focal points. It commences with a succinct introduction and history of AI4SE.
Thereafter, it underscores the core challenges inherent to AI4SE, particularly
highlighting the need to realize trustworthy and synergistic AI4SE.
Progressing, the paper paints a vision for the potential leaps achievable if
AI4SE's key challenges are surmounted, suggesting a transition towards Software
Engineering 2.0. Two strategic roadmaps are then laid out: one centered on
realizing trustworthy AI4SE, and the other on fostering synergistic AI4SE.
While this paper may not serve as a conclusive guide, its intent is to catalyze
further progress. The ultimate aspiration is to position AI4SE as a linchpin in
redefining the horizons of software engineering, propelling us toward Software
Engineering 2.0.
","Many software engineering researchers for decades
Invented in an automated solution to improve the productivity of developers.
The quality of software has witnessed something that cannot be compared in the past 20 years.
Software intelligent solution development survey
This momentum has established artificial intelligence.
The quickest software engineering (AI4SE) area
Active and popular field in the field of software engineering.
The future of paper engineering (FOSE) paper is sailed in various ways.
It starts with a concise introduction and history of the focus.
After that, emphasize core tasks unique to AI4SE.
We emphasize the need to realize a reliable synergistic effect.
This progressive paper
The main tasks of AI4SE are excessive and we recommend that you switch to software.
Engineering 2.0.
Realizing a reliable AI4SE, and the other is to promote synergistic AI4SE.
This paper may not work as a decisive guide, but the intent is
Additional progress.
Rewods the field of view of software engineering and promote software.
Engineering 2.0."
